query_id,theme,query,pmid,pubmed_url,title,journal,pub_year,abstract,found_by,grade
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41611326,https://pubmed.ncbi.nlm.nih.gov/41611326/,Cerebral fat embolism syndrome and the use of multimodal neuromonitoring and corticosteroid treatment.,BMJ case reports,2026,"Cerebral fat embolism syndrome is a rare complication of long-bone fractures. We describe a case of severe cerebral fat embolism after orthopaedic trauma sustained in a road traffic collision. The case is notable for the severity of neurological involvement, the application of multimodal neuromonitoring to guide care and the use of methylprednisolone as part of management. The patient was admitted to the neurointensive care unit and managed with standard neuroprotective measures. Imaging on day 10 demonstrated worsening cerebral oedema with transtentorial herniation. Intracranial pressure (ICP",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41730621,https://pubmed.ncbi.nlm.nih.gov/41730621/,A Cerebral Ethiodized Embolism after Lymphangiography: A Case Report and Literature Review.,"Internal medicine (Tokyo, Japan)",2026,"A cerebral ethiodized oil embolism is a rare and serious complication of lymphangiography. We herein report a case of a cerebral ethiodized oil embolism after lymphangiography. The patient underwent ultrasound-guided intranodal lymphangiography for refractory chylothorax and chylous ascites due to hilar cholangiocarcinoma. After the procedure, the patient developed a disturbance of consciousness and convulsions. Diffuse embolisms of ethiodized oil micro-droplets in the bilateral cerebral cortex, basal ganglia, thalamus, and cerebellum were detected using brain computed tomography and magnetic ",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41612531,https://pubmed.ncbi.nlm.nih.gov/41612531/,Fat Embolism Syndrome Associated With Facet Fracture of the Vertebra: A Case Report.,The American journal of forensic medicine and pathology,2026,"While fat embolism commonly occurs following fractures of the long bones and the pelvis, it is also frequently reported after procedures such as hip or knee arthroplasty and intramedullary nailing. Contributing risk factors include obesity, immobilization, and osteoporosis. In contrast, its association with vertebral fractures is exceptionally rare. We hereby report an unusual case of fat embolism following an anterolisthesis and a right facet joint fracture of the C5-C6 vertebra. The review of literature reports only four cases in which the fat embolism was seen associated with vertebral comp",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41721501,https://pubmed.ncbi.nlm.nih.gov/41721501/,Possible ARDS Following Cosmetic Lipolysis: A Case Report Urging Caution in Aesthetic Medicine.,The American journal of case reports,2026,"BACKGROUND Fat-dissolving (lipolysis) injections are increasingly performed as non-surgical aesthetic procedures for body contouring. Although generally considered safe, these interventions can rarely result in severe and potentially life-threatening complications, especially in unregulated settings. We report an unusual case of acute respiratory distress syndrome (ARDS) following cosmetic lipolysis injections in a previously healthy woman. CASE REPORT A 41-year-old Vietnamese woman with no significant past medical history developed acute progressive dyspnea and bilateral chest pain about 30 m",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41631193,https://pubmed.ncbi.nlm.nih.gov/41631193/,Mechanisms of fat and soft tissue filler embolism following aesthetic injections: A cadaveric systematic review.,JPRAS open,2025,"Background: Fat embolism (FE), fat embolism syndrome (FES), and soft tissue filler embolisms have emerged as significant complications following aesthetic procedures involving fat grafting and soft tissue fillers. Despite increasing reports of embolic events, the anatomical pathways and mechanisms remain poorly understood. We hypothesize that specific anatomical features and injection techniques are associated with increased embolism risk in aesthetic procedures. This systematic review synthesizes cadaveric studies to map vascular pathways, identify high-risk zones, identify high-risk injectio",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41668822,https://pubmed.ncbi.nlm.nih.gov/41668822/,Immediate Pulmonary Embolism or Pulmonary Artery Thrombosis Following Blunt Chest Injury?,European journal of case reports in internal medicine,2026,"Introduction: A pulmonary embolism usually appears as early as two to three days post-trauma, but in rare cases, it can manifest immediately. It may be a result of in situ thrombosis instead of dislodged deep vein thrombosis.
Case description: We present a 24-year-old patient involved in a motorcycle and car collision with blunt chest trauma, mild desaturation and a right clavicle fracture. A thorax computed tomography scan seven hours post-trauma revealed bilateral main pulmonary arteries thrombosis extending to the proximal segmental branches with no evidence of deep vein thrombosis or major",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,42169134,https://pubmed.ncbi.nlm.nih.gov/42169134/,Repeated levosimendan administration guided by invasive hemodynamic assessment in postcardiotomy cardiogenic shock after off-pump coronary artery bypass grafting: a case report.,Journal of cardiothoracic surgery,2026,"Postcardiotomy cardiogenic shock is a life-threatening complication after coronary artery bypass grafting (CABG), especially in patients with severely impaired left ventricular systolic function. Management remains challenging, and criteria for repeated levosimendan administration in this setting are not well defined. We report the case of a 74-year-old man with ischemic cardiomyopathy and severely reduced preoperative left ventricular ejection fraction who underwent preoperative levosimendan optimization followed by off-pump CABG. Despite initial improvement, the patient developed postcardiot",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41723578,https://pubmed.ncbi.nlm.nih.gov/41723578/,Pulmonary Embolism and Right Heart Failure Associated With Lipomatous Atrial Septal Hypertrophy: A Case Report.,The American journal of case reports,2026,"BACKGROUND Lipomatous atrial septal hypertrophy (LASH) is a benign but uncommon condition characterized by excessive adipose tissue accumulation within the interatrial septum. Although most cases remain asymptomatic, large lesions may produce superior vena cava (SVC) obstruction. Acute pulmonary embolism as an initial presentation is rare. CASE REPORT A 75-year-old woman with a history of chronic obstructive pulmonary disease and hypertension experienced 7 days of progressively worsening exertional dyspnea, orthopnea, and lower-extremity edema, without chest pain, cough, or fever. Physical exa",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,41603011,https://pubmed.ncbi.nlm.nih.gov/41603011/,"Pathophysiology, clinical manifestations, and prognostic insights of cerebral fat embolism: a literature review.",Frontiers in neurology,2025,"Cerebral fat embolism (CFE) syndrome, a rare and often incomplete variant of fat embolism syndrome (FES), is characterized by pure neurological involvement and may occur after both traumatic and nontraumatic events. It is typically caused by embolization of fat droplets into the systemic circulation, most commonly after orthopedic trauma. The clinical presentation ranges from subtle neurological symptoms to life-threatening events, including respiratory distress, altered mental status, seizures, and coma. Diagnosis is challenging due to nonspecific signs, concurrent injuries, and lack of defin",bge_m3,
1,ophtalmo,accident vasculaire cérébral ischémique par vasospasme ou embolie graisseuse après lipofilling facial,40992501,https://pubmed.ncbi.nlm.nih.gov/40992501/,Diagnosing paradoxical fat embolism syndrome after cemented hip arthroplasty.,Revista espanola de anestesiologia y reanimacion,2025,"The diagnosis of cerebral fat embolism syndrome (FES) is not linear. In this case report, a 79-year-old woman underwent urgent cemented hip arthroplasty 24 h after a femoral neck fracture. Immediately after the procedure she had a brief episode of altered state of consciousness. After 4 h, she presented with multiple neurological symptoms which led to activation of the stroke alert system. Various new neurological deficits appeared during the day. She had 2 brain CT scans, which were normal. Transthoracic echocardiogram showed a patent foramen ovale with an exuberant aneurysm. Electroencephalo",bge_m3,
